day from 01/01/2002,sapflow mm,sd
1,-1,0
2,-1,0
3,-1,0
4,-1,0
5,-1,0
6,-1,0
7,-1,0
8,-1,0
9,-1,0
10,-1,0
11,-1,0
12,3.5765,0.72916
13,2.4819,0.4964
14,1.8163,0.35374
15,-1,0
16,-1,0
17,-1,0
18,-1,0
19,-1,0
20,-1,0
21,-1,0
22,-1,0
23,-1,0
24,-1,0
25,-1,0
26,-1,0
27,-1,0
28,-1,0
29,-1,0
30,-1,0
31,-1,0
32,-1,0
33,-1,0
34,-1,0
35,-1,0
36,-1,0
37,-1,0
38,-1,0
39,-1,0
40,-1,0
41,-1,0
42,-1,0
43,-1,0
44,-1,0
45,-1,0
46,-1,0
47,-1,0
48,-1,0
49,-1,0
50,-1,0
51,-1,0
52,-1,0
53,-1,0
54,-1,0
55,-1,0
56,-1,0
57,-1,0
58,-1,0
59,-1,0
60,-1,0
61,-1,0
62,-1,0
63,-1,0
64,-1,0
65,-1,0
66,-1,0
67,-1,0
68,-1,0
69,-1,0
70,-1,0
71,-1,0
72,-1,0
73,-1,0
74,-1,0
75,-1,0
76,-1,0
77,-1,0
78,-1,0
79,-1,0
80,-1,0
81,-1,0
82,0.6574,0.13914
83,2.8739,0.64299
84,-1,0
85,-1,0
86,-1,0
87,-1,0
88,-1,0
89,-1,0
90,-1,0
91,-1,0
92,-1,0
93,-1,-0.22275
94,-1,0
95,-1,0
96,-1,0
97,-1,0
98,-1,0
99,-1,0
100,-1,0
101,-1,0
102,-1,0
103,-1,0
104,-1,0
105,-1,0
106,-1,0
107,-1,0
108,-1,0
109,-1,-0.23563
110,-1,0
111,-1,0
112,-1,-0.25528
113,-1,0
114,-1,-0.1659
115,-1,0
116,-1,0
117,-1,0
118,0.8468,0.23004
119,1.4245,0.30408
120,1.9984,0
121,-1,0
122,-1,0
123,-1,0
124,2.197,0.34243
125,1.966,0.2615
126,-1,-0.12993
127,-1,-0.13344
128,0.9548,0.14239
129,1.3403,0.20012
130,-1,0
131,-1,0
132,-1,0
133,2.913,0.42657
134,2.7845,0.51348
135,1.9637,0.38177
136,1.9261,0.31449
137,1.9657,0.30725
138,2.0894,0.41467
139,2.2484,0.40963
140,2.649,0.48343
141,2.2916,0.34519
142,2.296,0.42419
143,1.519,0.2605
144,1.838,0.3112
145,0.96,0.23933
146,-1,0
147,-1,-0.17341
148,-1,-0.16807
149,-1,-0.16894
